Date,Open,High,Low,Close,Adj Close,Volume
2021-03-16,65.750000,65.849998,63.049999,63.400002,63.400002,31183061
2021-03-17,63.349998,63.700001,60.650002,60.900002,60.900002,32300124
2021-03-18,61.500000,62.349998,58.450001,59.400002,59.400002,43275173
2021-03-19,58.000000,60.750000,56.000000,60.349998,60.349998,65794214
2021-03-22,60.049999,61.099998,58.750000,59.450001,59.450001,37193196
2021-03-23,59.750000,61.700001,59.500000,61.349998,61.349998,38827727
2021-03-24,60.599998,61.250000,58.500000,58.750000,58.750000,37223856
2021-03-25,58.700001,58.750000,56.000000,57.200001,57.200001,49179913
2021-03-26,58.000000,59.200001,57.349998,57.700001,57.700001,30706356
2021-03-30,58.349998,60.000000,58.000000,58.250000,58.250000,38676946
2021-03-31,59.500000,59.599998,55.299999,55.700001,55.700001,68707873
2021-04-01,56.200001,57.849998,56.150002,57.049999,57.049999,49970187
2021-04-05,57.000000,57.000000,53.750000,54.299999,54.299999,48364592
2021-04-06,54.750000,55.500000,53.849998,55.299999,55.299999,39222862
2021-04-07,55.500000,58.099998,55.099998,57.799999,57.799999,55841387
2021-04-08,58.299999,58.349998,57.099998,57.450001,57.450001,55092435
2021-04-09,56.549999,57.299999,55.500000,55.799999,55.799999,77981063
2021-04-12,53.000000,53.900002,47.500000,50.549999,50.549999,86053992
2021-04-13,51.150002,54.400002,50.900002,54.049999,54.049999,62994327
2021-04-15,53.000000,54.099998,51.500000,52.450001,52.450001,54496776
2021-04-16,52.799999,54.349998,52.450001,53.650002,53.650002,52746258
2021-04-19,50.000000,51.150002,49.400002,50.700001,50.700001,56663464
2021-04-20,51.900002,52.400002,50.200001,50.650002,50.650002,35191058
2021-04-22,50.000000,51.400002,49.150002,51.200001,51.200001,36063732
2021-04-23,50.700001,52.750000,50.500000,51.099998,51.099998,43148063
2021-04-26,51.900002,52.750000,51.599998,52.250000,52.250000,36590967
2021-04-27,52.599998,53.500000,52.349998,53.349998,53.349998,29330756
2021-04-28,53.799999,54.950001,53.549999,54.650002,54.650002,33115115
2021-04-29,55.299999,55.599998,53.849998,54.799999,54.799999,42609774
2021-04-30,54.000000,55.549999,53.599998,54.700001,54.700001,35247446
2021-05-03,54.200001,54.750000,53.000000,54.000000,54.000000,32646264
2021-05-04,54.549999,57.450001,54.349998,55.750000,55.750000,64253913
2021-05-05,56.349998,56.900002,55.700001,56.200001,56.200001,29480874
2021-05-06,56.599998,57.099998,55.799999,56.849998,56.849998,24639694
2021-05-07,57.200001,57.500000,56.500000,56.750000,56.750000,29913541
2021-05-10,56.000000,56.599998,55.200001,55.349998,55.349998,49348021
2021-05-11,55.000000,56.599998,54.400002,56.250000,56.250000,39068191
2021-05-12,56.349998,56.849998,54.950001,55.200001,55.200001,32240853
2021-05-14,55.799999,55.799999,53.900002,54.200001,54.200001,23847158
2021-05-17,54.349998,56.000000,53.950001,55.799999,55.799999,32438231
2021-05-18,56.299999,57.349998,55.549999,56.049999,56.049999,43106124
2021-05-19,56.049999,56.200001,55.400002,55.549999,55.549999,18399737
2021-05-20,55.650002,56.000000,55.000000,55.150002,55.150002,17218573
2021-05-21,55.549999,57.700001,55.299999,57.250000,57.250000,52428351
2021-05-24,58.099998,59.700001,57.250000,59.250000,59.250000,91370325
2021-05-25,59.900002,60.150002,58.400002,58.950001,58.950001,43542130
2021-05-26,59.099998,59.299999,57.700001,57.799999,57.799999,42304492
2021-05-27,58.150002,58.599998,57.150002,57.900002,57.900002,28509870
2021-05-28,58.400002,59.500000,57.950001,59.150002,59.150002,52746656
2021-05-31,59.150002,59.150002,58.150002,58.500000,58.500000,21775996
2021-06-01,58.549999,59.049999,57.349998,57.549999,57.549999,23354104
2021-06-02,57.400002,61.099998,57.250000,60.950001,60.950001,76400646
2021-06-03,61.500000,61.849998,60.400002,60.650002,60.650002,37184052
2021-06-04,60.750000,61.150002,59.450001,59.799999,59.799999,27777406
2021-06-07,60.299999,60.799999,60.000000,60.400002,60.400002,21273020
2021-06-08,60.700001,60.700001,58.849998,59.349998,59.349998,23143614
2021-06-09,59.500000,62.000000,59.000000,59.700001,59.700001,57075082
2021-06-10,60.200001,61.099998,59.599998,60.349998,60.349998,31112453
2021-06-11,60.799999,61.549999,59.599998,60.049999,60.049999,24294950
2021-06-14,60.049999,60.049999,57.950001,59.450001,59.450001,31058498
2021-06-15,59.500000,60.549999,59.450001,59.599998,59.599998,16344664
2021-06-16,59.599998,59.900002,58.299999,58.549999,58.549999,17315397
2021-06-17,58.000000,59.450001,57.500000,57.799999,57.799999,31056039
2021-06-18,58.150002,58.450001,55.099998,57.599998,57.599998,38371621
2021-06-21,56.500000,58.700001,56.150002,58.450001,58.450001,32222683
2021-06-22,59.250000,59.500000,58.000000,58.099998,58.099998,31274480
2021-06-23,58.400002,58.599998,57.549999,57.750000,57.750000,23825952
2021-06-24,57.900002,58.250000,56.750000,56.900002,56.900002,26522173
2021-06-25,57.299999,58.500000,57.200001,58.250000,58.250000,23214704
2021-06-28,58.500000,58.799999,56.750000,56.950001,56.950001,62728541
2021-06-29,57.349998,57.349998,55.750000,55.849998,55.849998,34793174
2021-06-30,56.250000,56.250000,53.450001,54.200001,54.200001,83663383
2021-07-01,54.349998,55.000000,53.900002,54.200001,54.200001,21943782
2021-07-02,54.200001,54.549999,53.599998,54.000000,54.000000,21461733
2021-07-05,54.250000,54.849998,53.799999,54.450001,54.450001,53052248
2021-07-06,54.599998,54.650002,53.450001,53.599998,53.599998,29815431
2021-07-07,53.700001,54.150002,53.150002,53.950001,53.950001,25431944
2021-07-08,54.250000,54.299999,52.900002,53.200001,53.200001,23279657
